"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"177","cooki",15,62.6269524953372,0.682350385661794,0.421147738563306,0.615238444052957,0.544536186149729,16,"scout","prem"
"178","Elmo.",27,62.6183324032921,0.577170400569202,0.630021639801138,0.58499693215242,0.624122680024946,22,"scout","prem"
"179","Elmo.",17,62.5998475438722,0.652350951383618,0.515969388238447,0.76697542052179,0.677442274006894,15,"scout","prem"
"180","aclaivi",15,62.5959846266621,0.592537162844874,0.558345819117736,0.718559456267307,0.533310490347087,14,"scout","prem"
"181","conor",24,62.4634600927168,0.479055432528256,0.707904267630394,0.649504834989051,0.661737326602401,17,"scout","inter"
"182","Yui",14,62.4347252153677,0.635107464363378,0.54473229284118,0.628380376632304,0.431271843951228,8,"scout","prem"
"183","atten",24,62.434688703805,0.490920212774825,0.684846252414821,0.657197116013848,0.649571124516151,21,"scout","inter"
"184","wulonggoth",24,62.3595661986667,0.593050269106729,0.584294494208135,0.607918043499283,0.627506631352529,9,"demoman","inter"
"185","teejay",21,62.273664500749,0.606717076592936,0.622303273121039,0.570732592445151,0.606432363918078,14,"scout","prem"
"186","Zaka",16,62.2612743530662,0.554156935637262,0.573822496293984,0.637988028354985,0.64543683017867,13,"soldier","prem"
"187","ozy",28,62.2520615926874,0.524392874435942,0.642982168928623,0.59167757767496,0.569823072478311,10,"demoman","inter"
"188","Sam.",23,62.178900725405,0.610772368202294,0.472525283553124,0.736144353638924,0.544836459279367,17,"scout","prem"
"189","knoxu",26,62.1267523801657,0.544900891073355,0.762491737098046,0.538796445431977,0.544358420870693,13,"soldier","inter"
"190","HERTZ",28,62.125589619396,0.605426029210774,0.531735867457462,0.438860297299972,0.655071673936682,12,"soldier","prem"
"191","lock",23,62.12003031149,0.681067742931816,0.702407847162434,0.65613686455039,0.70366666650323,5,"medic","prem"
"192","Yauch",28,62.0412640339418,0.62046317095957,0.427246994314093,0.537661111790755,0.506195160336153,8,"scout","inter"
"193","matttt",20,62.0367209843452,0.63037091378855,0.5388515822765,0.547494381836469,0.594655826256925,19,"soldier","prem"
"194","Doge.exe has stopped working",23,62.0296795931836,0.609488292585667,0.579410394075766,0.626229459977694,0.548524534211472,16,"demoman","prem"
"195","skaz",25,62.0230558059997,0.609018375089437,0.535629888425419,0.469700887395979,0.648471797170309,18,"scout","inter"
"196","silvo",28,62.0111420892278,0.580484348874518,0.517805398939026,0.609206436634545,0.558599288887377,19,"soldier","prem"
"197","Doge.exe has stopped working",22,62.0072290545186,0.586368580170114,0.660133999036384,0.541503174495637,0.573889978278473,16,"demoman","prem"
"198","Trumpet",24,61.9987552143172,0.555495600832995,0.743425004676997,0.503244762522915,0.674117006546253,13,"demoman","inter"
"199","Elmo.",26,61.9860877686284,0.597600276698626,0.505944312028098,0.581121441943143,0.553208837045531,16,"scout","prem"
"200","riot",24,61.9517205323685,0.519198837654275,0.681822054235221,0.575224813943368,0.573576470339646,16,"soldier","prem"
"201","dubious",16,61.8884176377264,0.705802030337894,0.411562617428144,0.466046289348347,0.539860834553854,10,"soldier","prem"
"202","Madness",20,61.8579112743428,0.589072879480685,0.606017113834646,0.670289534489453,0.521047513725547,10,"scout","prem"
"203","redcoat",29,61.8499229716684,0.603086761590257,0.571697821974762,0.643936724174459,0.651380455606996,8,"demoman","prem"
"204","render",15,61.8179253777219,0.675048302251112,0.455785221445855,0.492486667871735,0.569361376148154,16,"soldier","prem"
"205","Yui",15,61.8060773138061,0.697478801264227,0.352715895632211,0.611047218314988,0.552978385928656,16,"scout","prem"
"206","Sam.",16,61.75559139626,0.649853407354515,0.431225045761025,0.655520731694339,0.494666531415271,14,"scout","prem"
"207","Yui",16,61.7239052974146,0.61095199060111,0.541530544869482,0.567547745650004,0.6413464430555,11,"scout","prem"
"208","enrith",20,61.7019821306378,0.603233054658122,0.594764972551782,0.560222145570457,0.636061299792361,11,"demoman","prem"
"209","lau",28,61.6449246652154,0.563388139985525,0.63220015964363,0.597316459570262,0.645147229260538,20,"scout","prem"
"210","D-Fault",28,61.5962466800801,0.560388093473239,0.541212549451997,0.634292981260968,0.433430809103354,6,"soldier","inter"
"211","Bonk",29,61.5808023668237,0.533789532756651,0.727629601275176,0.615093153149149,0.500456521694565,6,"demoman","high"
"212","redcoat",22,61.5692000200785,0.585250492598452,0.665491954915257,0.486071240883414,0.638825376512626,19,"demoman","prem"
"213","Bitler",28,61.5686169901655,0.48125827912769,0.663444056078106,0.624901005054547,0.623271297210282,22,"demoman","inter"
"214","lau",27,61.5677300581615,0.726177659071252,0.672432554643888,0.63511575166227,0.6418948709313,24,"medic","prem"
"215","down",29,61.5667155170833,0.590542501011778,0.55009150999919,0.658883504214312,0.727550514354105,10,"scout","prem"
"216","heebs",21,61.5281177665624,0.570789983543409,0.59124518318427,0.614506675916608,0.686876372205046,2,"scout","prem"
"217","Sam.",26,61.5189408295843,0.662185802208883,0.398830508997339,0.536272356346979,0.546538694753249,16,"scout","prem"
"218","deft",27,61.3956145157643,0.598485634315361,0.555137978836801,0.592630142123651,0.508442924002299,18,"demoman","prem"
"219","boner activated",28,61.3901888067026,0.643827897904771,0.44204808766154,0.438799681533913,0.406764158468569,8,"scout","high"
"220","enrith",28,61.3645082291345,0.544968765743867,0.669077811489683,0.513512091761528,0.532767556603935,19,"demoman","prem"
"221","luca$",24,61.3230180215438,0.607992758016913,0.588710221267231,0.532272985709698,0.593139868162431,14,"demoman","inter"
"222","lau",22,61.3157675762505,0.688053006927732,0.591354942246214,0.615184823512945,0.728866633267499,8,"medic","prem"
"223","Daz",27,61.2673911326352,0.635006009144121,0.508920271656931,0.600025893914687,0.522459447466625,18,"demoman","inter"
"224","riot",29,61.2565422434624,0.617977963631143,0.577144487444276,0.488509590379767,0.717734787821413,8,"soldier","prem"
"225","krollic",15,61.2431495580407,0.732689342380897,0.329459892932381,0.536823045215337,0.387947807255377,6,"soldier","prem"
